Supplementary Table 1. CpGs utilized in the elastic net age clock derived from all CpGs measured. Listed are the genomic coordinates, the linear coefficients of the model, and the distances to the transcription site (TSS) of the nearest genes.
Chromosome	Coordinate	Coefficient	Genes (distance to TSS)
Intercept		30.3172	
chr1	9967422	0.7605	Gm10567 (-4614)   
chr1	9967428	0.1261	Gm10567 (-4620)    
chr1	13126576	4.3766	Prdm14 (+586)     
chr1	15286937	5.6856	Kcnb2 (-321)     
chr1	46800385	-0.5194	Slc39a10 (+53660)     
chr1	55087536	-0.6355	Hspe1 (-595), Hspd1 (+487)    
chr1	63273286	0.4166	Zdbf2 (+22)     
chr1	63273288	1.2926	Zdbf2 (+24)     
chr1	64690282	5.5767	Ccnyl1 (-1062)     
chr1	71603645	-0.9544	Apol7d (-49191), Atic (+46496)    
chr1	79761546	-5.0494	Wdfy1 (+222)     
chr1	79858375	-0.2711	Serpine2 (+320)     
chr1	84695279	0.2488	Dner (+941)     
chr1	84934769	-0.8901	Slc16a14 (+355)     
chr1	89455649	0.7444	Agap1 (+839)     
chr1	92848744	0.0392	Gpc1 (+17100), Ankmy1 (+54161)    
chr1	92848748	0.4056	Gpc1 (+17104), Ankmy1 (+54157)    
chr1	95666316	-2.0561	St8sia4 (+1277)     
chr1	103479589	0.5519	NONE      
chr1	105270925	-0.6631	Rnf152 (+85784)     
chr1	106758726	-0.8413	Bcl2 (-44453), Kdsr (+1015)    
chr1	118310888	-3.922	Tsn (+243)     
chr1	118311288	-3.1032	Tsn (-157)     
chr1	119648512	-1.9629	Epb4.1l5 (+487)     
chr1	120602265	2.8247	En1 (-152)     
chr1	120602331	-0.3255	En1 (-86)     
chr1	128359556	1.7188	Mcm6 (+99)     
chr1	132331689	-1.5644	Nuak2 (+15564), Tmcc2 (+59591)    
chr1	132937328	-0.7063	Lrrn2 (+57056), Mdm4 (+88019)    
chr1	135374481	-2.196	Shisa4 (+755)     
chr1	151345609	2.9407	Ivns1abp (+1112), Swt1 (+82845)    
chr1	152766494	-1.279	Arpc5 (-47)     
chr1	163779885	-2.1693	Kifap3 (+303)     
chr1	166254097	0.2376	Ildr2 (-41)     
chr1	167078000	1.5658	Fam78b (+76584)     
chr1	180162337	-0.1488	Adck3 (+33682)     
chr1	181143980	-3.359	Nvl (+176)     
chr1	193130048	7.7219	Diexf (+202)     
chr2	18688874	1.1456	BC061194 (-10148), Bmi1 (+11857)    
chr2	18688890	2.4924	BC061194 (-10132), Bmi1 (+11873)    
chr2	18688999	2.7974	BC061194 (-10023), Bmi1 (+11982)    
chr2	18689011	0.0009	BC061194 (-10011), Bmi1 (+11994)    
chr2	18689050	3.5852	BC061194 (-9972), Bmi1 (+12033)    
chr2	18689075	8.0881	BC061194 (-9947), Bmi1 (+12058)    
chr2	19658357	-4.2881	Otud1 (+296)     
chr2	24367551	0.0149	Psd4 (-58)     
chr2	26139935	-1.2542	Nacc2 (-47759), Lhx3 (+66639)    
chr2	29206237	1.1064	Ntng2 (+41802), Setx (+81246)    
chr2	29540277	-0.8333	Rapgef1 (-79442)     
chr2	29803634	-0.2422	Urm1 (-23707), Slc27a4 (+1001)    
chr2	31314497	2.7303	Hmcn2 (+83)     
chr2	31383687	-0.0353	Ass1 (-86519), Hmcn2 (+69273)    
chr2	32258282	-1.1623	Uck1 (+1876), Pomt1 (+21693)    
chr2	32534814	-0.4353	Fam102a (-544)     
chr2	32583296	-0.3936	St6galnac4 (-3798)     
chr2	34371824	-1.0745	Pbx3 (+425)     
chr2	65753979	1.2548	Csrnp3 (-91787)     
chr2	71545678	1.233	Dlx2 (+1075), Dlx1 (+17566)    
chr2	73271897	3.9804	Sp9 (-27)     
chr2	73271967	0.0034	Sp9 (+43)     
chr2	73271991	2.0252	Sp9 (+67)     
chr2	73271993	1.3904	Sp9 (+69)     
chr2	74655567	2.0643	Lnp (-76620), Hoxd10 (-35522), Hoxd11 (-26431), Hoxd12 (-19361), Hoxd13 (-12742), Evx2 (+3851)
chr2	74655652	0.7246	Lnp (-76705), Hoxd10 (-35437), Hoxd11 (-26346), Hoxd12 (-19276), Hoxd13 (-12657), Evx2 (+3766)
chr2	74655663	0.6198	Lnp (-76716), Hoxd10 (-35426), Hoxd11 (-26335), Hoxd12 (-19265), Hoxd13 (-12646), Evx2 (+3755)
chr2	74656282	0.0691	Lnp (-77335), Hoxd10 (-34807), Hoxd11 (-25716), Hoxd12 (-18646), Hoxd13 (-12027), Evx2 (+3136)
chr2	74657635	3.7479	Lnp (-78688), Hoxd10 (-33454), Hoxd11 (-24363), Hoxd12 (-17293), Hoxd13 (-10674), Evx2 (+1783)
chr2	74682177	0.1683	Hoxd10 (-8912), Hoxd11 (+179), Hoxd13 (+13868)   
chr2	74763563	0.0646	Hoxd1 (+584), Hoxd13 (+95254)    
chr2	83724981	-0.0784	Itgav (+585)     
chr2	90580725	-0.0283	Ptprj (-79)     
chr2	92055426	0.3096	Creb3l1 (-30925)     
chr2	93195765	0.2594	Trp53i11 (+8218)     
chr2	102452235	-0.0148	Fjx1 (-444)     
chr2	103797471	-1.2176	Caprin1 (+177)     
chr2	109676136	2.7676	Bdnf (+1437)     
chr2	109792568	0.3912	Lin7c (-98284)     
chr2	116535471	0.4174	NONE      
chr2	120039017	-0.8105	Pla2g4b (+5585), Sptbn5 (+18479)    
chr2	126780509	0.4872	Gm10774 (-70943), Usp50 (+2934)    
chr2	127363004	0.6359	Adra2b (-281)     
chr2	128794537	-0.0866	Tmem87b (-23580), Mertk (+95582)    
chr2	128967551	-1.1529	Zc3h6 (+150), Gm10762 (+173)    
chr2	131179262	-2.3901	Spef1 (-4062), Cenpb (+749)    
chr2	131262494	-0.2245	Pank2 (-5)     
chr2	132219269	-0.5242	Slc23a2 (-74162), Tmem230 (+28384)    
chr2	143862610	0.1244	Bfsp1 (+562)     
chr2	147083923	0.702	Nkx2-4 (+1521), Xrn2 (+70928)    
chr2	147084014	1.8955	Nkx2-4 (+1430), Xrn2 (+71019)    
chr2	147084073	1.2298	Nkx2-4 (+1371), Xrn2 (+71078)    
chr2	147084603	1.2617	Nkx2-4 (+841)     
chr2	147084610	2.3309	Nkx2-4 (+834)     
chr2	147085213	1.856	Nkx2-4 (+231)     
chr2	147365634	0.7749	Pax1 (+641)     
chr2	152414129	0.916	6820408C15Rik (-1457), Zcchc3 (+914)    
chr2	152943653	0.5674	Foxs1 (-10446), Dusp15 (+8044)    
chr2	152943674	1.8634	Foxs1 (-10467), Dusp15 (+8023)    
chr2	154372729	-2.4023	Cdk5rap1 (+280)     
chr2	155956842	-3.446	Cep250 (+285)     
chr2	158117908	0.1537	Tgm2 (+28527), Rprd1b (+89412)    
chr2	164164697	-1.7677	Kcns1 (+6415), Stk4 (+90560)    
chr2	165116262	0.1938	1700025C18Rik (-25513)     
chr2	165821819	-0.31	Zmynd8 (+36353)     
chr2	173276460	1.2198	Pmepa1 (+72)     
chr2	173565625	-0.1764	Ankrd60 (+12739), 1700021F07Rik (+43040)    
chr2	174464089	4.523	Atp5e (+15)     
chr2	180524878	0.3324	Mrgbp (-57833), Ntsr1 (+24903)    
chr2	180702060	2.8941	Dido1 (+289)     
chr2	180776945	-1.7037	Bhlhe23 (-46)     
chr3	28805649	-0.0612	Rpl22l1 (+214)     
chr3	40541009	2.7445	Intu (+243)     
chr3	51484124	2.2116	Rab33b (+159)     
chr3	53017230	-1.4665	Cog6 (-8)     
chr3	53452419	-0.8884	Nhlrc3 (+10871)     
chr3	58692509	6.6892	Siah2 (-110)     
chr3	66979873	0.0221	Shox2 (+1897)     
chr3	69316410	-0.5824	Ppm1l (-450)     
chr3	69316712	-1.3507	Ppm1l (-148)     
chr3	88332469	-0.0444	Smg5 (-3790), Tmem79 (+2034)    
chr3	89764409	1.8157	Chrnb2 (+222)     
chr3	89764422	6.2341	Chrnb2 (+209)     
chr3	89764447	1.4041	Chrnb2 (+184)     
chr3	89764485	1.0572	Chrnb2 (+146)     
chr3	91930033	0.2753	Pglyrp3 (-84549)     
chr3	96727503	-2.7989	Rnf115 (-107), Polr3c (-63)    
chr3	96919687	1.2607	Gpr89 (-14342), Gja8 (+6332)    
chr3	99141438	-0.0605	Wars2 (+371)     
chr3	103809575	-3.1059	Dclre1b (-132), Ap4b1 (-52)    
chr3	104220213	-1.489	Magi3 (-111)     
chr3	107332143	0.2376	Rbm15 (+1145), Slc16a4 (+40914)    
chr3	107517398	-0.1518	Slc6a17 (+619)     
chr3	107517805	0.0064	Slc6a17 (+212)     
chr3	108100140	-1.0069	Gnat2 (+7352), Gnai3 (+46005)    
chr3	121507851	-0.2904	Slc44a3 (+24492), Cnn3 (+81311)    
chr3	121545526	-0.734	Slc44a3 (-13183), A730020M07Rik (+97958)    
chr3	133310529	4.6241	Ppa2 (+420)     
chr3	135593759	0.4888	Nfkb1 (+97786)     
chr3	142169526	3.7726	NONE      
chr3	148817552	-0.2729	NONE      
chr3	153500769	0.2055	NONE      
chr4	28140436	0.1074	NONE      
chr4	33209344	-2.4876	Srsf12 (+354)     
chr4	42924950	0.6803	Dnajb5 (-25445), N28178 (+7700)    
chr4	43382620	-0.0526	Rusc2 (-23814)     
chr4	44090814	0.7814	Gne (-6638), Rnf38 (+76793)    
chr4	45342692	-0.6659	Dcaf10 (+592)     
chr4	45531471	-4.8567	Shb (-1142)     
chr4	55071885	0.7197	NONE      
chr4	57142836	2.8598	Epb4.1l4b (+600)     
chr4	63213975	-0.3743	Col27a1 (-1459)     
chr4	83323961	0.2172	Ttc39b (+293)     
chr4	89294317	1.203	Cdkn2a (+301)     
chr4	89688406	0.0932	Dmrta1 (+209)     
chr4	91376687	0.0048	Elavl2 (+23296)     
chr4	96306742	0.4414	Cyp2j7-ps (-70084), Cyp2j11 (+41919)    
chr4	98383107	-3.9869	Tm2d1 (+198)     
chr4	99929714	-0.6041	Pgm2 (+301)     
chr4	101496665	-0.7584	Dnajc6 (-53928), Ak4 (+77377)    
chr4	107113675	-0.5356	Tmem59 (-64723), Cdcp2 (+16785)    
chr4	107435699	0.0317	Glis1 (+981)     
chr4	108848499	-5.7843	A730015C16Rik (+119), Kti12 (+643)    
chr4	110970207	0.225	NONE      
chr4	116627157	0.3995	Nasp (+783)     
chr4	118216098	-0.2433	Kdm4a (-36056), Ptprf (+75306)    
chr4	119170566	-0.4584	Zfp691 (+3289), Slc2a1 (+61856)    
chr4	120731318	0.0324	Kcnq4 (+15929), Cited4 (+64756)    
chr4	124882509	1.2967	Epha10 (+1611), Cdca8 (+54407)    
chr4	124882524	1.1965	Epha10 (+1626), Cdca8 (+54392)    
chr4	124882529	0.6438	Epha10 (+1631), Cdca8 (+54387)    
chr4	124882557	0.1964	Epha10 (+1659), Cdca8 (+54359)    
chr4	128654947	0.0001	Phc2 (+246)     
chr4	128743517	-0.7919	A3galt2 (-15740), Phc2 (+88816)    
chr4	129118461	0.0532	Hpca (+3574), Tmem54 (+12914)    
chr4	129440744	-1.6999	Zbtb8b (+73)     
